
Computing for N = 56:
56: 1% done, found 0 solutions
56: 2% done, found 0 solutions
56: 3% done, found 0 solutions
56: 4% done, found 0 solutions
56: 5% done, found 0 solutions
56: 6% done, found 0 solutions
56: 7% done, found 0 solutions
56: 8% done, found 0 solutions
56: 9% done, found 0 solutions
56: 10% done, found 0 solutions
56: 11% done, found 0 solutions
56: 12% done, found 0 solutions
56: 13% done, found 0 solutions
56: 14% done, found 0 solutions
56: 15% done, found 0 solutions
56: 16% done, found 0 solutions
56: 17% done, found 0 solutions
56: 18% done, found 0 solutions
56: 19% done, found 0 solutions
56: 20% done, found 0 solutions
56: 21% done, found 0 solutions
56: 22% done, found 0 solutions
56: 23% done, found 0 solutions
56: 24% done, found 0 solutions
56: 25% done, found 0 solutions
56: 26% done, found 0 solutions
56: 27% done, found 0 solutions
56: 28% done, found 0 solutions
56: 29% done, found 0 solutions
56: 30% done, found 0 solutions
56: 31% done, found 0 solutions
56: 32% done, found 0 solutions
56: 33% done, found 0 solutions
56: 34% done, found 0 solutions
56: 35% done, found 0 solutions
56: 36% done, found 0 solutions
56: 37% done, found 0 solutions
56: 38% done, found 0 solutions
56: 39% done, found 0 solutions
56: 40% done, found 0 solutions
56: 41% done, found 0 solutions
56: 42% done, found 0 solutions
56: 43% done, found 0 solutions
56: 44% done, found 0 solutions
56: 45% done, found 0 solutions
56: 46% done, found 0 solutions
56: 47% done, found 0 solutions
56: 48% done, found 0 solutions
56: 49% done, found 0 solutions
56: 50% done, found 0 solutions
56: 51% done, found 0 solutions
56: 52% done, found 0 solutions
56: 53% done, found 0 solutions
56: 54% done, found 0 solutions
56: 55% done, found 0 solutions
56: 56% done, found 0 solutions
56: 57% done, found 0 solutions
56: 58% done, found 0 solutions
56: 59% done, found 0 solutions
56: 60% done, found 0 solutions
56: 61% done, found 0 solutions
56: 62% done, found 0 solutions
56: 63% done, found 0 solutions
56: 64% done, found 0 solutions
56: 65% done, found 0 solutions
56: 66% done, found 0 solutions
56: 67% done, found 0 solutions
56: 68% done, found 0 solutions
56: 69% done, found 0 solutions
56: 70% done, found 0 solutions
56: 71% done, found 0 solutions
56: 72% done, found 0 solutions
56: 73% done, found 0 solutions
56: 74% done, found 0 solutions
56: 75% done, found 0 solutions
56: 76% done, found 0 solutions
56: 77% done, found 0 solutions
56: 78% done, found 0 solutions
56: 79% done, found 0 solutions
56: 80% done, found 0 solutions
56: 81% done, found 0 solutions
56: 82% done, found 0 solutions
56: 83% done, found 0 solutions
56: 84% done, found 0 solutions
56: 85% done, found 0 solutions
56: 86% done, found 0 solutions
56: 87% done, found 0 solutions
56: 88% done, found 0 solutions
56: 89% done, found 0 solutions
56: 90% done, found 0 solutions
56: 91% done, found 0 solutions
56: 92% done, found 0 solutions
56: 93% done, found 0 solutions
56: 94% done, found 0 solutions
56: 95% done, found 0 solutions
56: 96% done, found 0 solutions
56: 97% done, found 0 solutions
56: 98% done, found 0 solutions
56: 99% done, found 0 solutions
56: 100% done, found 0 solutions
n = 56,	5 days, 23:20:56 ... 

Computing for N = 57:
57: 1% done, found 0 solutions
57: 2% done, found 0 solutions
57: 3% done, found 0 solutions
57: 4% done, found 0 solutions
57: 5% done, found 0 solutions
57: 6% done, found 0 solutions
57: 7% done, found 0 solutions
57: 8% done, found 0 solutions
57: 9% done, found 0 solutions
57: 10% done, found 0 solutions
57: 11% done, found 0 solutions
57: 12% done, found 0 solutions
