
Computing for N = 31:
31: 1% done, found 0 solutions
31: 2% done, found 0 solutions
31: 3% done, found 0 solutions
31: 4% done, found 0 solutions
31: 5% done, found 0 solutions
31: 6% done, found 0 solutions
31: 7% done, found 0 solutions
31: 8% done, found 0 solutions
31: 9% done, found 0 solutions
31: 10% done, found 0 solutions
31: 11% done, found 0 solutions
31: 12% done, found 0 solutions
31: 13% done, found 0 solutions
31: 14% done, found 0 solutions
31: 15% done, found 0 solutions
31: 16% done, found 0 solutions
31: 17% done, found 0 solutions
31: 18% done, found 0 solutions
31: 19% done, found 0 solutions
31: 20% done, found 0 solutions
31: 21% done, found 0 solutions
31: 22% done, found 0 solutions
31: 23% done, found 0 solutions
31: 24% done, found 0 solutions
31: 25% done, found 0 solutions
31: 26% done, found 0 solutions
31: 27% done, found 0 solutions
31: 28% done, found 0 solutions
31: 29% done, found 0 solutions
31: 30% done, found 0 solutions
31: 31% done, found 0 solutions
31: 32% done, found 0 solutions
31: 33% done, found 0 solutions
31: 34% done, found 0 solutions
31: 35% done, found 0 solutions
31: 36% done, found 0 solutions
31: 37% done, found 0 solutions
31: 38% done, found 0 solutions
31: 39% done, found 0 solutions
31: 40% done, found 0 solutions
31: 41% done, found 0 solutions
31: 42% done, found 0 solutions
31: 43% done, found 0 solutions
31: 44% done, found 0 solutions
31: 45% done, found 0 solutions
31: 46% done, found 0 solutions
31: 47% done, found 0 solutions
31: 48% done, found 0 solutions
31: 49% done, found 0 solutions
31: 50% done, found 0 solutions
31: 51% done, found 0 solutions
31: 52% done, found 0 solutions
31: 53% done, found 0 solutions
31: 54% done, found 0 solutions
31: 55% done, found 0 solutions
31: 56% done, found 1 solutions
31: 57% done, found 1 solutions
31: 58% done, found 1 solutions
31: 59% done, found 1 solutions
31: 60% done, found 1 solutions
31: 61% done, found 1 solutions
31: 62% done, found 1 solutions
31: 63% done, found 1 solutions
31: 64% done, found 1 solutions
31: 65% done, found 1 solutions
31: 66% done, found 1 solutions
31: 67% done, found 1 solutions
31: 68% done, found 1 solutions
31: 69% done, found 1 solutions
31: 70% done, found 1 solutions
31: 71% done, found 1 solutions
31: 72% done, found 1 solutions
31: 73% done, found 1 solutions
31: 74% done, found 1 solutions
31: 75% done, found 1 solutions
31: 76% done, found 1 solutions
31: 77% done, found 1 solutions
31: 78% done, found 2 solutions
31: 79% done, found 2 solutions
31: 80% done, found 2 solutions
31: 81% done, found 2 solutions
31: 82% done, found 2 solutions
31: 83% done, found 2 solutions
31: 84% done, found 3 solutions
31: 85% done, found 3 solutions
31: 86% done, found 3 solutions
31: 87% done, found 3 solutions
31: 88% done, found 3 solutions
31: 89% done, found 3 solutions
31: 90% done, found 3 solutions
31: 91% done, found 3 solutions
31: 92% done, found 3 solutions
31: 93% done, found 3 solutions
31: 94% done, found 3 solutions
31: 95% done, found 3 solutions
31: 96% done, found 3 solutions
31: 97% done, found 3 solutions
31: 98% done, found 3 solutions
31: 99% done, found 3 solutions
31: 100% done, found 3 solutions
n = 31,	1:29:09 ---> 1145037275765491025924292050346, 1927890457142960697580636236639, 2309092682616190307509695338915

Computing for N = 32:
32: 1% done, found 0 solutions
32: 2% done, found 0 solutions
32: 3% done, found 0 solutions
32: 4% done, found 0 solutions
32: 5% done, found 0 solutions
32: 6% done, found 0 solutions
32: 7% done, found 0 solutions
32: 8% done, found 0 solutions
32: 9% done, found 0 solutions
32: 10% done, found 0 solutions
32: 11% done, found 0 solutions
32: 12% done, found 0 solutions
32: 13% done, found 0 solutions
32: 14% done, found 0 solutions
32: 15% done, found 0 solutions
32: 16% done, found 0 solutions
32: 17% done, found 0 solutions
32: 18% done, found 0 solutions
32: 19% done, found 0 solutions
32: 20% done, found 0 solutions
32: 21% done, found 0 solutions
32: 22% done, found 0 solutions
32: 23% done, found 0 solutions
32: 24% done, found 0 solutions
32: 25% done, found 0 solutions
32: 26% done, found 0 solutions
32: 27% done, found 0 solutions
32: 28% done, found 0 solutions
32: 29% done, found 0 solutions
