
Computing for N = 41:
41: 1% done, found 0 solutions
41: 2% done, found 0 solutions
41: 3% done, found 0 solutions
41: 4% done, found 0 solutions
41: 5% done, found 0 solutions
41: 6% done, found 0 solutions
41: 7% done, found 0 solutions
41: 8% done, found 0 solutions
41: 9% done, found 0 solutions
41: 10% done, found 0 solutions
41: 11% done, found 0 solutions
41: 12% done, found 0 solutions
41: 13% done, found 0 solutions
41: 14% done, found 0 solutions
41: 15% done, found 0 solutions
41: 16% done, found 0 solutions
41: 17% done, found 0 solutions
41: 18% done, found 0 solutions
41: 19% done, found 0 solutions
41: 20% done, found 0 solutions
41: 21% done, found 0 solutions
41: 22% done, found 0 solutions
41: 23% done, found 0 solutions
41: 24% done, found 0 solutions
41: 25% done, found 0 solutions
41: 26% done, found 0 solutions
41: 27% done, found 0 solutions
41: 28% done, found 0 solutions
41: 29% done, found 0 solutions
41: 30% done, found 0 solutions
41: 31% done, found 0 solutions
41: 32% done, found 0 solutions
41: 33% done, found 0 solutions
41: 34% done, found 0 solutions
41: 35% done, found 0 solutions
41: 36% done, found 0 solutions
41: 37% done, found 0 solutions
41: 38% done, found 0 solutions
41: 39% done, found 0 solutions
41: 40% done, found 0 solutions
41: 41% done, found 0 solutions
41: 42% done, found 0 solutions
41: 43% done, found 0 solutions
41: 44% done, found 0 solutions
41: 45% done, found 0 solutions
41: 46% done, found 0 solutions
41: 47% done, found 0 solutions
41: 48% done, found 0 solutions
41: 49% done, found 0 solutions
41: 50% done, found 0 solutions
41: 51% done, found 0 solutions
41: 52% done, found 0 solutions
41: 53% done, found 0 solutions
41: 54% done, found 0 solutions
41: 55% done, found 0 solutions
41: 56% done, found 0 solutions
41: 57% done, found 0 solutions
41: 58% done, found 0 solutions
41: 59% done, found 0 solutions
41: 60% done, found 0 solutions
41: 61% done, found 0 solutions
41: 62% done, found 0 solutions
41: 63% done, found 0 solutions
41: 64% done, found 0 solutions
41: 65% done, found 0 solutions
41: 66% done, found 0 solutions
41: 67% done, found 0 solutions
41: 68% done, found 0 solutions
41: 69% done, found 0 solutions
41: 70% done, found 0 solutions
41: 71% done, found 0 solutions
41: 72% done, found 0 solutions
41: 73% done, found 0 solutions
41: 74% done, found 0 solutions
41: 75% done, found 0 solutions
41: 76% done, found 0 solutions
41: 77% done, found 0 solutions
41: 78% done, found 0 solutions
41: 79% done, found 0 solutions
41: 80% done, found 0 solutions
41: 81% done, found 0 solutions
