
Computing for N = 21:
23: 80% done, found 0 solutions
23: 90% done, found 0 solutions
23: 100% done, found 0 solutions
23: 110% done, found 0 solutions
23: 120% done, found 0 solutions
23: 130% done, found 0 solutions
23: 140% done, found 0 solutions
23: 150% done, found 0 solutions
23: 160% done, found 0 solutions
23: 170% done, found 0 solutions
23: 180% done, found 0 solutions
23: 190% done, found 0 solutions
23: 200% done, found 0 solutions
23: 210% done, found 0 solutions
23: 220% done, found 0 solutions
23: 230% done, found 0 solutions
23: 240% done, found 0 solutions
23: 250% done, found 0 solutions
23: 260% done, found 0 solutions
23: 270% done, found 0 solutions
23: 280% done, found 0 solutions
23: 290% done, found 0 solutions
23: 300% done, found 0 solutions
23: 310% done, found 0 solutions
23: 320% done, found 0 solutions
23: 330% done, found 0 solutions
23: 340% done, found 0 solutions
23: 350% done, found 0 solutions
23: 360% done, found 0 solutions
23: 370% done, found 0 solutions
23: 380% done, found 0 solutions
23: 390% done, found 0 solutions
23: 400% done, found 0 solutions
23: 410% done, found 0 solutions
23: 420% done, found 0 solutions
23: 430% done, found 0 solutions
23: 440% done, found 0 solutions
23: 450% done, found 0 solutions
23: 460% done, found 0 solutions
23: 470% done, found 0 solutions
23: 480% done, found 0 solutions
23: 490% done, found 0 solutions
23: 500% done, found 0 solutions
23: 510% done, found 0 solutions
23: 520% done, found 0 solutions
23: 530% done, found 0 solutions
23: 540% done, found 0 solutions
23: 550% done, found 0 solutions
23: 560% done, found 0 solutions
23: 570% done, found 0 solutions
23: 580% done, found 0 solutions
23: 590% done, found 0 solutions
23: 600% done, found 0 solutions
23: 610% done, found 0 solutions
23: 620% done, found 0 solutions
23: 630% done, found 0 solutions
23: 640% done, found 1 solutions
23: 650% done, found 1 solutions
23: 660% done, found 1 solutions
23: 670% done, found 1 solutions
23: 680% done, found 1 solutions
23: 690% done, found 1 solutions
23: 700% done, found 1 solutions
23: 710% done, found 1 solutions
23: 720% done, found 4 solutions
23: 730% done, found 4 solutions
23: 740% done, found 4 solutions
23: 750% done, found 4 solutions
23: 760% done, found 5 solutions
23: 770% done, found 5 solutions
23: 780% done, found 5 solutions
23: 790% done, found 5 solutions
23: 800% done, found 5 solutions
23: 810% done, found 5 solutions
23: 820% done, found 5 solutions
23: 830% done, found 5 solutions
23: 840% done, found 5 solutions
23: 850% done, found 5 solutions
23: 860% done, found 5 solutions
23: 870% done, found 5 solutions
23: 880% done, found 5 solutions
23: 890% done, found 5 solutions
23: 900% done, found 5 solutions
23: 910% done, found 5 solutions
23: 920% done, found 5 solutions
23: 930% done, found 5 solutions
23: 940% done, found 5 solutions
23: 950% done, found 5 solutions
23: 960% done, found 5 solutions
23: 970% done, found 5 solutions
23: 980% done, found 5 solutions
23: 990% done, found 5 solutions
23: 1000% done, found 5 solutions
n = 23,	0:06:30 ---> 21887696841122916288858, 27879694893054074471405, 27907865009977052567814, 28361281321319229463398, 35452590104031691935943

Computing for N = 24:
24: 10% done, found 0 solutions
24: 20% done, found 0 solutions
24: 30% done, found 0 solutions
24: 40% done, found 0 solutions
24: 50% done, found 0 solutions
24: 60% done, found 0 solutions
24: 70% done, found 0 solutions
24: 80% done, found 0 solutions
24: 90% done, found 0 solutions
24: 100% done, found 0 solutions
24: 110% done, found 0 solutions
24: 120% done, found 0 solutions
24: 130% done, found 0 solutions
24: 140% done, found 0 solutions
24: 150% done, found 0 solutions
24: 160% done, found 0 solutions
24: 170% done, found 0 solutions
24: 180% done, found 0 solutions
24: 190% done, found 0 solutions
24: 200% done, found 0 solutions
24: 210% done, found 0 solutions
24: 220% done, found 0 solutions
24: 230% done, found 0 solutions
24: 240% done, found 0 solutions
24: 250% done, found 0 solutions
24: 260% done, found 0 solutions
24: 270% done, found 0 solutions
24: 280% done, found 0 solutions
24: 290% done, found 0 solutions
24: 300% done, found 0 solutions
24: 310% done, found 0 solutions
24: 320% done, found 0 solutions
24: 330% done, found 0 solutions
24: 340% done, found 0 solutions
24: 350% done, found 0 solutions
24: 360% done, found 0 solutions
24: 370% done, found 0 solutions
24: 380% done, found 0 solutions
24: 390% done, found 0 solutions
24: 400% done, found 0 solutions
24: 410% done, found 0 solutions
24: 420% done, found 0 solutions
24: 430% done, found 0 solutions
